"Fecha,""Tipo"",""Nominales"",""Precio"",""Moneda"""
"2025-01-17,""Compra"",""5"",""1950"",""ARS"""
"2025-01-14,""Venta"",""-1000"",""2055"",""ARS"""
"2024-12-24,""Venta"",""-3000"",""2665.59"",""ARS"""
"2024-11-25,""Compra"",""4664"",""2028.8228987993139"",""ARS"""
"2024-11-20,""Compra"",""1475"",""2010"",""ARS"""
"2024-11-11,""Compra"",""1431"",""1840"",""ARS"""
"2024-10-28,""Compra"",""987"",""1520"",""ARS"""
"2024-10-15,""Compra"",""602"",""1370"",""ARS"""
"2024-08-19,""Compra"",""758"",""1120"",""ARS"""
"2024-08-06,""Venta"",""-2231"",""989"",""ARS"""
"2024-08-06,""Compra"",""3207"",""990"",""ARS"""
"2024-06-24,""Compra"",""1179"",""1068.4898218829517"",""ARS"""
"2024-05-27,""Compra"",""92"",""1000.45"",""ARS"""
"2024-05-16,""Compra"",""354"",""1071.15"",""ARS"""
"2024-05-14,""Compra"",""606"",""1020"",""ARS"""
