Fecha,Tipo,Nominales,Precio,Moneda
2024-11-14,Venta,-1774,3290.55,ARS
2024-10-15,Compra,810,3075,ARS
2024-10-14,Compra,964,3175,ARS
2024-10-09,Venta,-894,3140.67,ARS
2024-04-22,Compra,58,3199.3706896551726,ARS
2024-03-05,Compra,96,3217.5,ARS
2024-03-04,Compra,155,3704.3290322580647,ARS
2024-02-27,Compra,113,3630.5,ARS
2024-02-19,Compra,108,3680,ARS
2024-02-09,Compra,131,4000,ARS
2024-01-26,Venta,-20,4620.5,ARS
2024-01-24,Compra,253,4399.5,ARS
2024-01-23,Venta,-405,4280.81,ARS
2024-01-19,Compra,125,3950,ARS
2024-01-18,Compra,8,4010,ARS
2024-01-17,Compra,272,4337.169117647059,ARS
